Date,Open,High,Low,Close,Volume,ADV20,Return,Ticker,Index_Name,GICS_Sector,Event_Type,strategy_1_n,strategy_1,strategy_1_md,Volatility
8/22/2023,65.47824988,66.52394701,65.04824108,65.81052399,3549400,1923410,-0.012610005,AAP,S&P SmallCap 600,Consumer Discretionary,Corporate Action,1,0,0.005074572,0.019111305
8/23/2023,65.95711645,69.86626557,64.82346708,67.86283112,6086400,2135615,0.03118509,AAP,S&P SmallCap 600,Consumer Discretionary,Corporate Action,2,0.03118509,0.018208957,0.019867072
8/24/2023,67.97033481,69.76853986,66.30894192,66.36758423,17981700,2919440,-0.02203337,AAP,S&P SmallCap 600,Consumer Discretionary,Corporate Action,3,-0.02203337,0.004527378,0.020338001
8/25/2023,66.1037132,66.18189797,61.65705667,62.62457275,5347300,3102230,-0.056398188,AAP,S&P SmallCap 600,Consumer Discretionary,Corporate Action,4,-0.056398188,-0.010895515,0.023374326
9/5/2023,141.1499939,144.2599945,139.8000031,142.2899933,21052800,4910945,0.072349014,ABNB,S&P 500,Consumer Discretionary,Index Review,1,0,0.00807651,0.025080139
9/6/2023,140.7799988,143.2200012,140.2660065,141.7700043,7114400,5032375,-0.003654431,ABNB,S&P 500,Consumer Discretionary,Index Review,2,-0.003654431,0.002196282,0.024378876
9/7/2023,139.25,144.25,139.0099945,143.2700043,7928200,5259300,0.010580517,ABNB,S&P 500,Consumer Discretionary,Index Review,3,0.010580517,0.005006519,0.024263379
9/8/2023,143.9400024,146.8500061,143.1799927,145.8200073,9326600,5553750,0.017798583,ABNB,S&P 500,Consumer Discretionary,Index Review,4,0.017798583,0.008271367,0.024196385
9/11/2023,146.2200012,148.25,144.8600006,147.3300018,7179000,5694090,0.010355194,ABNB,S&P 500,Consumer Discretionary,Index Review,5,0.010355194,0.008756653,0.023736597
9/12/2023,146.8800049,151.1549988,146.8200073,147.5,7342700,5892535,0.00115386,ABNB,S&P 500,Consumer Discretionary,Index Review,6,0.00115386,0.007497941,0.023674275
9/13/2023,146,147,143.6049957,144.7149963,7893300,6088675,-0.018881381,ABNB,S&P 500,Consumer Discretionary,Index Review,7,-0.018881381,0.00360812,0.023266956
9/14/2023,144.6100006,145.7200012,141.6900024,144.1199951,8365500,6340105,-0.004111538,ABNB,S&P 500,Consumer Discretionary,Index Review,8,-0.004111538,0.002630182,0.023167134
9/15/2023,143.5850067,144.9499969,142.1000061,142.75,74786400,9884000,-0.009505934,ABNB,S&P 500,Consumer Discretionary,Index Review,9,-0.009505934,0.0012595,0.023260622
9/18/2023,141.9299927,144.3999939,141.1900024,142.5500031,7351400,9956180,-0.001401029,ABNB,S&P 500,Consumer Discretionary,Index Review,10,-0.001401029,0.000991859,0.022347602
6/21/2023,12.23509631,12.54441107,12.06325523,12.39834595,16966500,3557995,0.073660927,ABR,S&P SmallCap 600,Financials,Corporate Action,1,0,0.013342734,0.024492637
6/22/2023,12.32101667,12.55300191,11.98592597,12.09762287,47485800,5785455,-0.024255096,ABR,S&P SmallCap 600,Financials,Corporate Action,2,-0.024255097,-0.005617996,0.025492001
6/23/2023,11.94296526,11.99451799,11.66801955,11.72816372,7507400,6005820,-0.030539814,ABR,S&P SmallCap 600,Financials,Corporate Action,3,-0.030539814,-0.013810887,0.02579158
10/28/2022,55.20000076,56.99000168,55.11000061,56.68000031,13153300,2630930,0.096537083,ACGL,S&P 500,Financials,Corporate Action,1,0,0.026811586,0.033026993
10/31/2022,56.31999969,58,56.16999817,57.5,93699400,7208445,0.014467179,ACGL,S&P 500,Financials,Corporate Action,2,0.014467179,0.020833326,0.033006459
11/1/2022,57.52000046,57.95000076,55.33000183,55.43999863,9579300,7563945,-0.035826111,ACGL,S&P 500,Financials,Corporate Action,3,-0.035826111,0.001449262,0.033232222
11/9/2023,25.5,26.67000008,25.46999931,26.04000092,3241800,733785,0.065030679,ACIW,S&P SmallCap 600,Information Technology,Corporate Action,1,0,0.021176507,0.039162325
11/10/2023,26.11000061,26.56999969,25.68000031,26.10000038,21710900,1802590,0.002304127,ACIW,S&P SmallCap 600,Information Technology,Corporate Action,2,0.002304127,0.011764713,0.038614031
11/13/2023,25.90999985,26.21999931,25.70000076,25.95999908,1002700,1828600,-0.005364034,ACIW,S&P SmallCap 600,Information Technology,Corporate Action,3,-0.005364034,0.00601306,0.038709717
1/31/2023,66.73041517,69.17075662,65.94469335,68.98587799,2249700,704295,0.006473426,ADC,S&P MidCap 400,Real Estate,Corporate Action,1,0,0.033799622,0.013268354
2/1/2023,68.75479126,69.29092875,67.59932619,68.75479126,1297100,745565,-0.003349769,ADC,S&P MidCap 400,Real Estate,Corporate Action,2,-0.003349769,0.015168316,0.013224468
2/2/2023,68.75477767,69.98419396,68.45897895,69.05982208,1625900,793650,0.004436503,ADC,S&P MidCap 400,Real Estate,Corporate Action,3,0.004436503,0.011635908,0.013221144
2/3/2023,68.86572678,68.86572678,67.30353555,68.46824646,18277700,1674420,-0.008566133,ADC,S&P MidCap 400,Real Estate,Corporate Action,4,-0.008566133,0.006510642,0.012093016
2/6/2023,68.26485894,68.70856052,67.60855578,68.59763336,1161300,1705230,0.001889736,ADC,S&P MidCap 400,Real Estate,Corporate Action,5,0.001889736,0.005596303,0.010989963
9/9/2024,17.5,19.34000015,17.47999954,18.37999916,9462300,3766130,0.130381236,ADMA,S&P SmallCap 600,Health Care,Index Review,1,0,0.050285666,0.039746648
9/10/2024,18.47999954,18.52000046,16.94000053,17.29000092,5766800,3653085,-0.059303498,ADMA,S&P SmallCap 600,Health Care,Index Review,2,-0.059303498,-0.005999974,0.042046523
9/11/2024,17.25,17.58499908,16.90999985,16.90999985,5469500,3651015,-0.021978083,ADMA,S&P SmallCap 600,Health Care,Index Review,3,-0.021978083,-0.011238098,0.040914049
9/12/2024,16.96999931,17.88500023,16.95000076,17.64999962,5470600,3753450,0.043761075,ADMA,S&P SmallCap 600,Health Care,Index Review,4,0.043761075,0.002142852,0.041926521
9/13/2024,17.85000038,18.42499924,17.85000038,18.09000015,4238600,3820470,0.024929209,ADMA,S&P SmallCap 600,Health Care,Index Review,5,0.024929209,0.006742859,0.042265807
9/16/2024,18.27000046,18.70000076,17.70000076,18.20000076,6584500,4011425,0.006080741,ADMA,S&P SmallCap 600,Health Care,Index Review,6,0.006080741,0.006666674,0.042260317
9/17/2024,18.29000092,19.14999962,18.25,18.70999908,5460900,4087580,0.028021885,ADMA,S&P SmallCap 600,Health Care,Index Review,7,0.028021885,0.009877544,0.041870088
9/18/2024,18.69000053,19.75,18.69000053,19.31999969,6957700,4323270,0.03260292,ADMA,S&P SmallCap 600,Health Care,Index Review,8,0.03260292,0.012999998,0.042173823
9/19/2024,19.87000084,19.91500092,18.80999947,19.73999977,5489800,4460945,0.021739135,ADMA,S&P SmallCap 600,Health Care,Index Review,9,0.021739135,0.014222221,0.04227831
9/20/2024,19.87000084,20.15999985,19.43000031,19.97999954,45182000,6590870,0.012158043,ADMA,S&P SmallCap 600,Health Care,Index Review,10,0.012158043,0.014171426,0.041882938
9/23/2024,20.05999947,20.10000038,19.62999916,20.03000069,11352500,6976300,0.00250256,ADMA,S&P SmallCap 600,Health Care,Index Review,11,0.00250256,0.013142861,0.040588286
9/9/2024,21.21999931,21.64999962,20.70999908,21.17000008,1903300,1321115,0.002367388,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,1,0,-0.002356231,0.021492917
9/10/2024,20.81999969,21.00499916,19.94000053,20.87999916,1384800,1318375,-0.013698673,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,2,-0.013698674,-0.008011314,0.021029401
9/11/2024,20.87999916,20.94000053,19.73999977,20,1070100,1219320,-0.042145555,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,3,-0.042145555,-0.0191643,0.021846103
9/12/2024,20.05999947,20.26000023,19.39999962,19.89999962,1031100,1178360,-0.005000019,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,4,-0.005000019,-0.015551363,0.021719877
9/13/2024,20.27000046,20.76000023,20.23999977,20.52000046,1008900,1034825,0.031155822,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,5,0.031155822,-0.006597539,0.022156464
9/16/2024,20.62000084,20.79999924,20.20000076,20.45999908,897300,990000,-0.002924043,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,6,-0.002924044,-0.005969213,0.021636903
9/17/2024,20.71999931,21.77000046,20.5,21.65999985,1444400,1011390,0.058651066,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,7,0.058651067,0.002962169,0.025748693
9/18/2024,21.71999931,22.67000008,21.60000038,21.69000053,1289100,1026080,0.001385073,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,8,0.001385073,0.002768622,0.024240189
9/19/2024,22.31999969,22.96999931,22.07999992,22.59000015,1640900,1047295,0.041493757,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,9,0.041493757,0.007173531,0.025872844
9/20/2024,22.30999947,23.02499962,21.85000038,22.67000008,22197100,2117345,0.003541387,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,10,0.003541387,0.00683318,0.025417951
9/23/2024,22.43000031,22.80999947,21.81999969,22.12000084,2026400,2167740,-0.024261104,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,11,-0.024261104,0.003855717,0.025548863
9/6/2022,10.84004902,11.13638142,10.53415728,10.78269386,8518300,5821285,0.011659274,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,1,0,-0.005291042,0.038543038
9/7/2022,10.75401582,11.20329496,10.70622001,11.07902622,8742600,5985365,0.027482219,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,2,0.02748222,0.011022884,0.033482222
9/8/2022,9.626038416,10.35253212,9.501769683,10.113554,27605800,7118830,-0.087144141,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,3,-0.087144141,-0.022339844,0.037450302
9/9/2022,10.20914579,10.81137078,10.07531771,10.21870422,11433400,7493865,0.010396961,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,4,0.01039696,-0.014329843,0.035995146
9/12/2022,10.33341501,10.87828487,10.30473698,10.62974739,8890100,7725365,0.040224588,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,5,0.040224588,-0.003880086,0.036546147
9/13/2022,10.0848773,10.3620919,9.931931444,10.09443665,11002600,7877915,-0.050359686,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,6,-0.050359686,-0.011463853,0.037737576
9/14/2022,10.15179057,10.32385511,9.931931136,10.31429577,9511200,7866420,0.021780227,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,7,0.021780227,-0.006928715,0.033660707
9/15/2022,10.2473826,10.7348973,10.2473826,10.29517841,8028300,7834425,-0.001853481,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,8,-0.001853482,-0.006283074,0.032660213
9/16/2022,10.18046829,10.70622038,9.99884531,10.46724224,37571700,9407375,0.01671305,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,9,0.01671305,-0.00382129,0.031864389
9/19/2022,10.34297395,10.59151144,10.26650101,10.5819521,5922600,9421235,0.010958938,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,10,0.010958938,-0.002380957,0.031615303
8/2/2022,24.10000038,24.40500069,23.54999924,24.14999962,8503200,1055615,0.082959661,AHCO,S&P SmallCap 600,Health Care,Corporate Action,1,0,0.002074657,0.021608265
8/3/2022,24.47999954,27.47999954,24.17000008,24.85000038,28777700,2468635,0.028985539,AHCO,S&P SmallCap 600,Health Care,Corporate Action,2,0.028985539,0.015560166,0.021875054
8/4/2022,24.89999962,25.78000069,24.39999962,25.36000061,2798600,2586780,0.020523148,AHCO,S&P SmallCap 600,Health Care,Corporate Action,3,0.020523148,0.017427389,0.021646066
3/4/2024,183.0604202,189.8548333,183.0604202,185.5908813,613800,225130,-0.031605642,AIT,S&P MidCap 400,Industrials,Index Review,1,0,0.013823093,0.014891424
3/5/2024,184.8536632,185.3318576,179.7130243,181.61586,492400,239210,-0.021418193,AIT,S&P MidCap 400,Industrials,Index Review,2,-0.021418193,-0.003945583,0.015055051
3/6/2024,182.6419904,184.5846693,182.0741223,183.2596588,275200,239875,0.009050965,AIT,S&P MidCap 400,Industrials,Index Review,3,0.009050965,0.000362792,0.015102112
3/7/2024,183.8075998,185.4115584,182.8312819,184.4551544,289900,245100,0.006523507,AIT,S&P MidCap 400,Industrials,Index Review,4,0.006523507,0.001904746,0.014843416
3/8/2024,185.032973,188.1313021,184.1363566,184.3156738,397100,248570,-0.000756176,AIT,S&P MidCap 400,Industrials,Index Review,5,-0.000756176,0.001371409,0.01477216
3/11/2024,183.6083497,183.6183067,179.8425367,181.9346466,225700,250805,-0.012918203,AIT,S&P MidCap 400,Industrials,Index Review,6,-0.012918203,-0.001024956,0.014417519
3/12/2024,183.0902864,184.8934911,182.0143377,184.5647278,283000,256435,0.014456186,AIT,S&P MidCap 400,Industrials,Index Review,7,0.014456186,0.001173935,0.014811868
3/13/2024,185.1824254,185.680549,183.3792205,184.9532776,280400,257590,0.002105222,AIT,S&P MidCap 400,Industrials,Index Review,8,0.002105222,0.001292509,0.013420805
3/14/2024,186.0690827,186.8859974,184.3256502,186.3380585,327400,262510,0.007487193,AIT,S&P MidCap 400,Industrials,Index Review,9,0.007487193,0.001989409,0.01225133
3/15/2024,185.6207762,188.9283088,185.331856,188.7689056,7231300,613935,0.013045361,AIT,S&P MidCap 400,Industrials,Index Review,10,0.013045361,0.003118361,0.012233698
3/18/2024,189.4961693,193.6405458,189.4961693,191.9668579,664300,636950,0.016941097,AIT,S&P MidCap 400,Industrials,Index Review,11,0.016941097,0.004423,0.012792308
12/5/2022,33.33000183,33.49000168,32.18000031,32.54000092,3408200,1117850,0.033015902,ALGM,S&P MidCap 400,Information Technology,Index Review,1,0,-0.023702396,0.026530884
12/6/2022,32.50999832,32.77999878,31.59499931,31.84000015,1595300,1160530,-0.021512008,ALGM,S&P MidCap 400,Information Technology,Index Review,2,-0.021512008,-0.022352259,0.027458911
12/7/2022,31.54999924,32.13000107,31.54999924,31.79999924,930800,1170655,-0.00125631,ALGM,S&P MidCap 400,Information Technology,Index Review,3,-0.00125631,-0.015301555,0.02756675
12/8/2022,31.93000031,32.70999908,31.73600006,32.59999847,822400,1180760,0.025157209,ALGM,S&P MidCap 400,Information Technology,Index Review,4,0.025157209,-0.005475572,0.02759157
12/9/2022,32.34999847,32.97999954,32.02999878,32.47999954,1362800,1197880,-0.003680949,ALGM,S&P MidCap 400,Information Technology,Index Review,5,-0.003680949,-0.005100524,0.024463235
12/12/2022,32.43000031,32.72999954,32.15000153,32.52000046,819900,1183940,0.001231555,ALGM,S&P MidCap 400,Information Technology,Index Review,6,0.001231555,-0.004050412,0.024404553
12/13/2022,33.11000061,34.13999939,32.77999878,33.00999832,1525500,1225075,0.015067585,ALGM,S&P MidCap 400,Information Technology,Index Review,7,0.015067585,-0.001371581,0.024420223
12/14/2022,33.00999832,33.28499985,32.18000031,32.49000168,1568900,1219840,-0.015752701,ALGM,S&P MidCap 400,Information Technology,Index Review,8,-0.015752701,-0.003150315,0.024565622
12/15/2022,32,32.18000031,30.5,30.62000084,2040400,1275950,-0.057556194,ALGM,S&P MidCap 400,Information Technology,Index Review,9,-0.057556194,-0.00903424,0.02685977
12/16/2022,30.5,30.59000015,29.43000031,30.15999985,11192200,1737705,-0.015022893,ALGM,S&P MidCap 400,Information Technology,Index Review,10,-0.015022893,-0.009510957,0.026106499
12/19/2022,30.07999992,30.20000076,29.48999977,29.72999954,1345300,1754650,-0.014257305,ALGM,S&P MidCap 400,Information Technology,Index Review,11,-0.014257305,-0.009819169,0.026285773
12/4/2023,25.94000053,26.42000008,25.06999969,26.32999992,6165900,2211235,0.083985135,ALKS,S&P SmallCap 600,Health Care,Index Review,1,0,0.015034672,0.025742572
12/5/2023,26.12999916,26.95000076,26.10000038,26.87999916,3067200,2250325,0.020888691,ALKS,S&P SmallCap 600,Health Care,Index Review,2,0.020888691,0.018118709,0.026024995
12/6/2023,26.96999931,26.97999954,26.31999969,26.40999985,2457900,2308465,-0.017485094,ALKS,S&P SmallCap 600,Health Care,Index Review,3,-0.017485094,0.00603957,0.026406223
12/7/2023,26.42000008,26.53000069,26.06999969,26.15999985,2465900,2356825,-0.009466111,ALKS,S&P SmallCap 600,Health Care,Index Review,4,-0.009466111,0.002120271,0.026097384
12/8/2023,26.09000015,26.36000061,25.75,25.86000061,2265800,2381825,-0.011467861,ALKS,S&P SmallCap 600,Health Care,Index Review,5,-0.011467861,-0.000616807,0.026113753
12/11/2023,26.21999931,26.21999931,25.62000084,26.10000038,2268100,2425630,0.009280733,ALKS,S&P SmallCap 600,Health Care,Index Review,6,0.009280733,0.001028012,0.025027367
12/12/2023,26.10000038,26.73999977,25.72999954,26.55999947,2325300,2451105,0.017624486,ALKS,S&P SmallCap 600,Health Care,Index Review,7,0.017624486,0.003414467,0.025184088
12/13/2023,26.5,27.47999954,26.5,27.42000008,2749000,2498360,0.032379542,ALKS,S&P SmallCap 600,Health Care,Index Review,8,0.032379542,0.00713184,0.025893029
12/14/2023,27.60000038,27.93000031,26.92000008,26.95000076,2758000,2529325,-0.017140748,ALKS,S&P SmallCap 600,Health Care,Index Review,9,-0.017140748,0.004326224,0.025754486
12/15/2023,27.06999969,27.77000046,26.79000092,27.42000008,31613300,3958180,0.017439677,ALKS,S&P SmallCap 600,Health Care,Index Review,10,0.017439677,0.005705472,0.025363406
12/18/2023,26.79999924,27.31999969,26.54000092,27.04000092,3128900,3997535,-0.013858467,ALKS,S&P SmallCap 600,Health Care,Index Review,11,-0.013858467,0.003855051,0.024866553
12/4/2023,33.66999817,34.27999878,32,34.08000183,22669400,3098910,-0.142209861,ALK,S&P SmallCap 600,Industrials,Index Review,1,0,0.012177122,0.039453044
12/5/2023,34.29999924,35.90999985,34.29000092,35.56999969,9842500,3496760,0.043720592,ALK,S&P SmallCap 600,Industrials,Index Review,2,0.043720592,0.028215052,0.040137914
12/6/2023,36,37.24000168,35.61000061,35.66999817,6042800,3713795,0.002811315,ALK,S&P SmallCap 600,Industrials,Index Review,3,0.002811315,0.019800021,0.040123058
12/7/2023,36,36.31999969,35.02999878,35.97000122,6061800,3887490,0.008410515,ALK,S&P SmallCap 600,Industrials,Index Review,4,0.008410515,0.017077541,0.039902502
12/8/2023,35.95999908,36.08000183,35.41999817,35.61000061,4249900,3960320,-0.010008357,ALK,S&P SmallCap 600,Industrials,Index Review,5,-0.010008357,0.011523627,0.039855512
12/11/2023,35.65000153,36.06000137,35,35.75,3467700,3984695,0.003931463,ALK,S&P SmallCap 600,Industrials,Index Review,6,0.003931463,0.01029602,0.039609207
12/12/2023,36,37.72000122,35.72999954,37.31000137,4305000,4101775,0.043636402,ALK,S&P SmallCap 600,Industrials,Index Review,7,0.043636402,0.01544403,0.040640952
12/13/2023,36.90000153,38.65000153,36.22000122,38.63000107,4664900,4191595,0.035379245,ALK,S&P SmallCap 600,Industrials,Index Review,8,0.035379245,0.01841403,0.039873603
12/14/2023,39.20000076,39.31999969,38.34999847,39.15999985,4972800,4286440,0.013719875,ALK,S&P SmallCap 600,Industrials,Index Review,9,0.013719875,0.018117025,0.039629096
12/15/2023,38.93999863,39.25,38.43000031,38.95000076,33770200,5861960,-0.005362592,ALK,S&P SmallCap 600,Industrials,Index Review,10,-0.005362592,0.015681624,0.039239606
12/18/2023,38.45000076,39.52000046,38.00999832,39.27000046,3542000,5919275,0.008215653,ALK,S&P SmallCap 600,Industrials,Index Review,11,0.008215653,0.015120022,0.039165849
9/5/2023,28.52313314,29.01557558,27.34030146,27.46099854,7260700,3205910,-0.017276983,ALLY,S&P MidCap 400,Financials,Index Review,1,0,-0.037237656,0.021195612
9/6/2023,27.21960432,27.76998268,26.68370903,27.03614426,4967500,3275000,-0.015471188,ALLY,S&P MidCap 400,Financials,Index Review,2,-0.015471188,-0.026066367,0.021316907
9/7/2023,26.736816,26.91062008,26.15264077,26.38920784,5296900,3445315,-0.023928575,ALLY,S&P MidCap 400,Financials,Index Review,3,-0.023928575,-0.024937949,0.021460676
9/8/2023,26.48576223,27.3934046,26.21540016,27.01682854,4345200,3494895,0.023783234,ALLY,S&P MidCap 400,Financials,Index Review,4,0.023783234,-0.013202482,0.022231073
9/11/2023,27.27753691,27.59617709,27.12787188,27.38375092,4419400,3629455,0.013581253,ALLY,S&P MidCap 400,Financials,Index Review,5,0.013581253,-0.00798918,0.022457078
9/12/2023,27.64445462,28.08862077,27.3161603,27.72170067,5115400,3763855,0.012341251,ALLY,S&P MidCap 400,Financials,Index Review,6,0.012341251,-0.004682939,0.022239121
9/13/2023,27.93413025,28.03068827,27.1133898,27.37409592,5471300,3864185,-0.012539085,ALLY,S&P MidCap 400,Financials,Index Review,7,-0.012539085,-0.005754914,0.021044873
9/14/2023,27.83757254,28.04034458,27.36926731,27.51893234,5517900,4021195,0.005291003,ALLY,S&P MidCap 400,Financials,Index Review,8,0.005291003,-0.004400817,0.020618545
9/15/2023,27.35478366,28.45071327,27.31616155,28.09827805,43115800,6045290,0.021052623,ALLY,S&P MidCap 400,Financials,Index Review,9,0.021052623,-0.001655012,0.020980942
9/18/2023,27.64445522,27.79894916,27.32581504,27.58652115,4286800,6125335,-0.018213105,ALLY,S&P MidCap 400,Financials,Index Review,10,-0.018213105,-0.003283693,0.021468936
6/10/2024,89,96.83999634,89,92.91999817,1956600,386265,0.087292291,ALTR,S&P MidCap 400,Information Technology,Index Review,1,0,0.044044923,0.026526129
6/11/2024,91.87000275,94.59999847,91.44000244,94.47000122,1042100,424025,0.016681049,ALTR,S&P MidCap 400,Information Technology,Index Review,2,0.016681049,0.030730344,0.026617442
6/12/2024,95.15000153,98.02999878,95.15000153,97.16999817,1213400,471810,0.028580469,ALTR,S&P MidCap 400,Information Technology,Index Review,3,0.028580469,0.030599244,0.027046895
6/13/2024,97.16999817,98.41000366,95.44999695,96.94000244,765400,489615,-0.002366942,ALTR,S&P MidCap 400,Information Technology,Index Review,4,-0.002366942,0.022303378,0.025273073
6/14/2024,96.16999817,97.55000305,95.59999847,96.61000061,731800,508010,-0.003404186,ALTR,S&P MidCap 400,Information Technology,Index Review,5,-0.003404186,0.017101125,0.025320145
6/17/2024,97.06999969,99.86000061,96.56999969,99.19999695,786300,527870,0.026808781,ALTR,S&P MidCap 400,Information Technology,Index Review,6,0.026808781,0.019101118,0.025740387
6/18/2024,99.59999847,100.7900009,97.94999695,98.40000153,777100,546265,-0.00806447,ALTR,S&P MidCap 400,Information Technology,Index Review,7,-0.00806447,0.015088285,0.025859513
6/20/2024,97.41999817,98.01999664,95.55500031,96.37000275,891100,578090,-0.020630069,ALTR,S&P MidCap 400,Information Technology,Index Review,8,-0.020630069,0.010351127,0.026317718
6/21/2024,96.48999786,96.95999908,93.98000336,95.22000122,8602700,996905,-0.01193319,ALTR,S&P MidCap 400,Information Technology,Index Review,9,-0.01193319,0.007765295,0.02652527
6/24/2024,95.26000214,98.30000305,95.26000214,96.02999878,677300,1015630,0.008506591,ALTR,S&P MidCap 400,Information Technology,Index Review,10,0.008506591,0.007898875,0.026552619
3/6/2023,93.0523489,93.0523489,91.66778629,91.8014679,3363500,1145350,0.011148548,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,1,0,-0.013442767,0.01140703
3/7/2023,91.64762702,92.2533525,89.93620586,90.4842453,2023200,1187205,-0.014348601,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,2,-0.014348601,-0.013799241,0.012065339
3/8/2023,90.84960055,91.93606996,90.50346961,91.61878204,1057500,1181500,0.0125385,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,3,0.0125385,-0.005135342,0.012016159
3/9/2023,91.51303016,92.49372971,89.79199205,89.9458313,1102100,1191480,-0.01825991,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,4,-0.01825991,-0.008346156,0.01269036
3/10/2023,90.29194997,90.41693884,87.07100894,88.15747833,1321900,1201195,-0.019882555,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,5,-0.019882555,-0.010520681,0.013528157
3/13/2023,85.16729945,86.84987758,83.98468417,86.11915588,1765900,1260520,-0.023121379,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,6,-0.023121379,-0.012418087,0.013380002
3/14/2023,88.24401822,89.5900823,87.59983287,88.45554352,1693000,1309535,0.027129709,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,7,0.027129709,-0.007057173,0.014506773
3/15/2023,84.18659116,84.93653908,82.8886038,84.82116699,1768400,1359820,-0.041087041,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,8,-0.041087041,-0.011057193,0.017328971
3/16/2023,83.65778627,86.53258912,83.56164041,86.42682648,1546600,1409150,0.018929939,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,9,0.018929939,-0.007911344,0.017799559
3/17/2023,85.04230296,85.1480656,82.75399935,84.01352692,12459500,1992950,-0.027923038,ALV,S&P MidCap 400,Consumer Discretionary,Index Review,10,-0.027923038,-0.009713696,0.018855874
